연번,광역시도,시군명,도서관명,우편번호,주소,홈페이지,전화번호,휴관일,개관년도,도서관구분,설립주체,팩스번호,LAT,LON
1,경상남도,창원시,경남대표도서관,51138,경상남도 창원시 의창구 사림로45번길 59 (사림동),http://lib.gyeongnam.go.kr,055-254-4811,"매주금요일, 법정공휴일",2018,공공도서관(일반),지자체,055-254-4819,35.2495276473926,128.681782898725
2,경상남도,창원시,경상남도교육청 마산도서관,51334,경상남도 창원시 마산합포구 용마산길 12,http://mslib.gne.go.kr,055-240-4521,"매주월요일, 법정공휴일",1954,공공도서관(일반),교육청,055-240-4568,35.213256956312,128.584770615361
3,경상남도,창원시,경상남도교육청 마산지혜의바다도서관,51203,경상남도 창원시 마산회원구 구암북12길 24-1,http://jhlib.gne.go.kr/,055-252-3860,"매월넷째주월요일, 법정공휴일",2018,공공도서관(일반),교육청,055-252-3865,35.2564709624998,128.598388442416
4,경상남도,창원시,경상남도교육청 진동도서관,51793,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-94,http://jdlib.gne.go.kr,055-271-8145,"매주월요일, 법정공휴일",1993,공공도서관(일반),교육청,055-271-0351,35.1193258897743,128.489777019573
5,경상남도,창원시,경상남도교육청 창원도서관,51519,경상남도 창원시 성산구 두대로 203,http://cwlib.gne.go.kr,055-278-2831,"매주월요일, 법정공휴일",1983,공공도서관(일반),교육청,055-278-2835,35.2239649727083,128.664187317726
6,경상남도,창원시,고향의봄도서관,51371,경상남도 창원시 의창구 평산로135번길 32 (서상동),https://lib.changwon.go.kr/gh/index_real.php,055-225-7371,"매주월요일, 법정공휴일",2002,공공도서관(일반),지자체,055-225-4799,35.2566173474586,128.618552320539
7,경상남도,창원시,내서도서관,51224,경상남도 창원시 마산회원구 내서읍 삼풍로 79,https://lib.changwon.go.kr/ns/index_real.php,055-225-7491,"매주금요일, 법정공휴일",1997,공공도서관(일반),지자체,055-225-4804,35.2327132285727,128.50126728753
8,경상남도,창원시,동부도서관,51604,경상남도 창원시 진해구 용재로 66 (용원동),https://lib.changwon.go.kr/db/index_real.php,055-225-7531,"매주금요일, 법정공휴일",2006,공공도서관(일반),지자체,055-225-4806,35.1000081318446,128.817158391738
9,경상남도,창원시,마산합포도서관,51742,경상남도 창원시 마산합포구 월영동16길 22 (해운동),https://lib.changwon.go.kr/hp/index_real.php,055-225-7441,"매주금요일, 법정공휴일",2002,공공도서관(일반),지자체,055-225-4803,35.1832953074462,128.562664468835
10,경상남도,창원시,마산회원도서관,51324,경상남도 창원시 마산회원구 3·15대로 558 (회원동),https://lib.changwon.go.kr/hw/,055-225-7471,"매주월요일, 법정공휴일",1995,공공도서관(일반),지자체,055-225-4804,35.2245783358293,128.573575669256
11,경상남도,창원시,명곡도서관,51171,경상남도 창원시 의창구 서곡길 21 (명서동),https://lib.changwon.go.kr/mg/index_real.php,055-225-7321,"매주월요일, 법정공휴일",2012,공공도서관(일반),지자체,055-225-4799,35.2531736750981,128.648653850824
12,경상남도,창원시,상남도서관,51500,경상남도 창원시 성산구 원이대로 810 (가음정동),https://lib.changwon.go.kr/sn/index_real.php,055-225-7411,"매주월요일, 법정공휴일",2002,공공도서관(일반),지자체,055-225-4801,35.2139855341639,128.69513439077
13,경상남도,창원시,성산도서관,51472,경상남도 창원시 성산구 외리로 47 (남산동),https://lib.changwon.go.kr/ss,055-225-7401,"매주금요일, 법정공휴일",2010,공공도서관(일반),지자체,055-225-4801,35.2020638686722,128.707240650847
14,경상남도,창원시,중리초등복합시설도서관,51215,경상남도 창원시 마산회원구 내서읍 호계안길 22,https://lib.changwon.go.kr/jr,055-225-7492,법정공휴일,2014,공공도서관(일반),지자체,055-225-4804,35.2559887765823,128.520058091848
15,경상남도,창원시,진해도서관,51694,경상남도 창원시 진해구 충장로 141 (여좌동),https://lib.changwon.go.kr/jh,055-225-7511,"매주월요일, 법정공휴일",1975,공공도서관(일반),지자체,055-225-4806,35.1524689114872,128.667506004153
16,경상남도,창원시,창원중앙도서관,51434,경상남도 창원시 성산구 용호로 50 (반송동),https://lib.changwon.go.kr/uc/index_real.php,055-225-7331,"매주금요일, 법정공휴일",1993,공공도서관(일반),지자체,055-225-4799,35.2335117707409,128.679050308704
17,경상남도,창원시,진해기적의도서관,51595,경상남도 창원시 진해구 석동로 70 (석동),http://www.jhml.or.kr,055-547-0095,"매주월요일, 법정공휴일",2004,공공도서관(어린이),지자체,055-547-0955,35.1560267653569,128.706474801019
19,경상남도,진주시,경상남도교육청 진양도서관,52834,경상남도 진주시 문산읍 동부로588번길 24,http://jinlib.gne.go.kr/,055-761-2722,"매주월요일, 법정공휴일",1992,공공도서관(일반),교육청,055-761-9606,35.1670747882863,128.166011896511
20,경상남도,진주시,진주시립서부도서관,52669,경상남도 진주시 평거로 249 (이현동),https://lib.jinju.go.kr/front/,055-749-5983,"매월첫째주월요일, 법정공휴일",1998,공공도서관(일반),지자체,055-749-5988,35.1897847278841,128.061865548562
21,경상남도,진주시,진주시립연암도서관,52786,경상남도 진주시 모덕로47번길 13-17 (상대동),http://lib.jinju.go.kr,055-749-5982,"매월첫째주월요일, 법정공휴일",1985,공공도서관(일반),지자체,055-749-5989,35.1831009097617,128.101951345981
22,경상남도,진주시,도동어린이도서관,52780,경상남도 진주시 상대로119번길 17,http://lib.jinju.go.kr/front/,055-749-7496,"매월첫째주월요일, 법정공휴일",2009,공공도서관(어린이),지자체,055-749-2898,35.1861509054425,128.124812630285
23,경상남도,진주시,마하 어린이도서관,52737,경상남도 진주시 초장로 55 (초전동),http://www.mahacl.com/,055-753-9922,"매주일~월요일, 법정공휴일",2018,공공도서관(어린이),사립,055-761-1141,35.2048239940598,128.111299741659
