충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량,LAT,LON
장유(서부산) 휴게소,경상남도 김해시 장유로116번길 44-82 (부곡동) ,휴게시설,고속도로 휴게소,ME178125,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:03,2023-10-30 13:41,2023-10-30 14:04,,158,2492.59,170,2678.5,169,2804.82,123,1741.66,147,2217.96,136,2118.19,69,1191.14,35,586.95,29,427.6,35.2124648669912,128.793845393654
장유(서부산) 휴게소,경상남도 김해시 장유로116번길 44-82 (부곡동) ,휴게시설,고속도로 휴게소,ME178125,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:03,2023-10-30 13:31,2023-10-30 14:09,,224,3556.92,194,3077.01,197,2837.16,205,2850.72,196,2496.81,185,2065.82,197,3238.14,198,3296.7,243,3949.41,35.2124648669912,128.793845393654
롯데마트 장유점,경상남도 김해시 번화1로56번길 15 롯데마트 ,상업시설,마트(쇼핑몰),ME178157,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:05,2023-10-29 11:46,2023-10-29 12:29,,141,2204.92,122,2004.51,136,2149.19,99,1747.53,88,1518.79,86,1729.99,110,2149.88,90,1784.31,84,1755.5,35.1930378947962,128.801298158007
롯데마트 김해점,경상남도 김해시 김해대로 2330 (부원동) ,상업시설,마트(쇼핑몰),ME181228,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:04,2023-10-30 10:56,2023-10-30 11:34,,87,958.09,52,562.41,53,562.69,67,747.03,62,971.47,63,917.09,98,1197.95,81,786.99,73,763.22,35.2255464451957,128.882049047961
김해금관가야(기장) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183209,1,DC차데모+AC3상+DC콤보,급속(100kW동시),단독,사용가능,2023-10-30 15:03,2023-10-30 14:19,2023-10-30 14:40,,304,4295.68,283,4343.95,244,3507.43,259,3779.81,273,3806.61,291,4388.03,268,3999.86,310,4260.63,311,4697.74,35.2682286611914,129.002794856551
김해금관가야(기장) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183209,2,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:04,2023-10-30 7:15,2023-10-30 7:56,,196,3977.21,174,3481.95,157,3519.34,168,3988.22,170,4031.87,186,3881.88,169,3382.94,128,2623.15,110,2383.93,35.2682286611914,129.002794856551
김해금관가야(기장) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183209,52,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:04,2023-10-30 13:12,2023-10-30 13:40,,333,7235.1,338,7156.74,307,6606.43,285,6478.3,320,7365.2,342,7791.54,353,8151.1,346,7595.84,227,5322.33,35.2682286611914,129.002794856551
김해금관가야(창원) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183210,1,DC차데모+AC3상+DC콤보,급속(100kW동시),단독,충전중,2023-10-30 15:06,2023-10-30 9:37,2023-10-30 9:49,2023-10-30 15:06,246,4133.8,185,3001.22,224,3595.0,203,3174.6,195,3052.92,199,3378.09,173,2789.65,206,2700.87,166,2370.01,35.2682286611914,129.002794856551
김해금관가야(창원) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183210,2,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:05,2023-10-29 21:45,2023-10-29 22:09,,135,2699.75,91,1755.09,99,2162.1,125,2889.5,151,3580.69,139,3291.51,141,3062.03,73,1619.64,80,1816.17,35.2682286611914,129.002794856551
김해금관가야(창원) 휴게소,경상남도 김해시 대동면 월촌리 770 ,휴게시설,고속도로 휴게소,ME183210,52,DC콤보,급속(100kW동시),동시,충전중,2023-10-30 15:05,2023-10-30 12:14,2023-10-30 12:49,2023-10-30 14:55,298,5841.81,269,5710.78,235,5239.67,259,6039.1,305,7563.49,264,6348.29,294,7333.27,227,5924.83,209,5101.9,35.2682286611914,129.002794856551
김해시 차량등록사업소,경상남도 김해시 김해대로 2401 ,공공시설,공공기관,ME184032,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2023-10-30 15:03,2023-10-30 8:26,2023-10-30 9:09,,25,421.69,2,45.03,15,271.89,17,393.34,34,426.38,41,388.51,35,326.7,25,201.71,17,171.26,35.2286111782636,128.889394622761
대청계곡 공영주차장,경상남도 김해시 대청동 산112-130 ,주차시설,공영주차장,ME18C111,1,DC차데모+AC3상+DC콤보,급속(100kW멀티),단독,사용가능,2023-10-30 15:04,2023-10-30 8:51,2023-10-30 9:28,,55,1672.41,39,1450.7,80,2786.67,77,2526.37,70,2433.8,63,1874.57,53,1748.62,77,2082.96,67,1866.82,35.1841962734014,128.773625691642
가야테마파크,경상남도 김해시 가야테마길 161 ,주차시설,공원주차장,ME18C112,1,DC차데모+AC3상+DC콤보,급속(100kW멀티),단독,사용가능,2023-10-30 15:06,2023-10-29 22:52,2023-10-29 23:32,,25,635.85,21,629.01,31,989.13,27,616.52,19,570.96,14,381.88,17,511.31,14,359.19,26,581.97,35.2516350785204,128.89374938352
김해서부문화센터,경상남도 김해시 율하2로 210 ,공공시설,지자체시설,ME18C206,11,DC콤보,급속(200kW동시),동시,사용가능,2023-10-30 15:05,2023-10-29 17:30,2023-10-29 17:37,,111,2784.01,87,2346.05,103,2457.95,69,1941.97,68,1742.4,75,2162.62,71,1963.49,103,2847.57,71,1934.21,35.1726044698372,128.820944136217
김해서부문화센터,경상남도 김해시 율하2로 210 ,공공시설,지자체시설,ME18C206,12,DC콤보,급속(200kW동시),동시,사용가능,2023-10-30 15:05,2023-10-30 9:34,2023-10-30 10:17,,164,4422.49,141,3576.39,156,4908.53,134,4007.59,97,3105.88,105,3208.68,92,2906.13,111,3358.76,106,2925.22,35.1726044698372,128.820944136217
불암동주민센터,경상남도 김해시 불암동 220-17 ,공공시설,주민센터,ME19C108,1,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:06,2023-10-30 13:48,2023-10-30 14:29,,326,5719.17,280,4902.47,263,4550.49,237,4371.67,244,4593.63,206,4446.12,241,4978.82,229,4662.17,194,4033.17,35.2220219133267,128.926631983367
봉화마을주차장,경상남도 김해시 진영읍 본산리 40-9 ,주차시설,공영주차장,ME19C109,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:01,2023-10-30 10:33,2023-10-30 10:53,,64,1555.88,56,1276.48,90,1958.69,98,2476.25,94,2358.69,53,1439.81,45,1388.66,38,947.52,32,986.7,35.3138540691482,128.769885256539
임호체육공원,경상남도 김해시 외동 산 28-1 ,관광시설,공원,ME19C110,11,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:05,2023-10-30 13:59,2023-10-30 14:25,,85,2131.25,134,3176.67,105,2735.42,117,2795.41,134,3032.37,89,2153.16,96,2452.53,129,3484.68,131,3450.1,35.2293092296222,128.850532567301
임호체육공원,경상남도 김해시 외동 산 28-1 ,관광시설,공원,ME19C110,12,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:05,2023-10-29 21:21,2023-10-29 22:02,,69,1874.58,111,2711.3,138,3429.57,54,1080.06,137,3222.86,91,2192.48,107,2758.11,144,3835.79,154,3879.34,35.2293092296222,128.850532567301
민원청사 주차장(김해시청),경상남도 김해시 부원동 625-1 ,공공시설,관공서,ME19C166,11,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:03,2023-10-30 11:26,2023-10-30 12:09,,195,3896.92,166,3276.52,229,4626.73,231,5125.89,259,6090.81,240,5186.75,263,6439.0,257,6575.82,236,5849.65,35.2276260382622,128.890257980108
민원청사 주차장(김해시청),경상남도 김해시 부원동 625-1 ,공공시설,관공서,ME19C166,12,DC콤보,급속(100kW동시),동시,사용가능,2023-10-30 15:03,2023-10-30 12:04,2023-10-30 12:50,,280,5605.89,234,4680.35,289,5892.0,247,5255.61,252,5524.63,256,5974.22,281,6215.02,252,6256.74,213,5403.37,35.2276260382622,128.890257980108
진영공설운동장,경상남도 김해시 진영읍 진영리 1347 ,교육문화시설,경기장,ME19C206,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 12:37,2023-10-30 13:14,,208,5062.02,156,3804.82,147,3801.46,17,417.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35.3075336064939,128.717596256025
진영공설운동장,경상남도 김해시 진영읍 진영리 1347 ,교육문화시설,경기장,ME19C206,2,DC콤보,급속(100kW단독),단독,통신이상,2023-10-29 14:23,2023-10-26 12:17,2023-10-26 12:40,,174,4437.11,120,2439.38,117,2949.04,16,443.32,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,35.3075336064939,128.717596256025
진영(순천) 휴게소,경상남도 김해시 진영읍 하계로96번길 68 ,휴게시설,고속도로 휴게소,ME19D401,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:00,2023-10-30 14:28,2023-10-30 14:51,,464,10617.48,371,8589.68,406,9399.36,408,9405.0,417,9805.12,372,8564.24,345,7850.6,379,7707.28,370,5766.72,35.2800735928108,128.715606787105
진영(순천) 휴게소,경상남도 김해시 진영읍 하계로96번길 68 ,휴게시설,고속도로 휴게소,ME19D401,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:05,2023-10-30 13:46,2023-10-30 14:04,,278,6425.56,230,5479.32,253,5604.2,259,6241.32,245,6170.0,270,6352.92,319,7893.12,358,8811.32,321,7833.84,35.2800735928108,128.715606787105
진영(순천) 휴게소,경상남도 김해시 진영읍 하계로96번길 68 ,휴게시설,고속도로 휴게소,ME19D401,3,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:02,2023-10-30 14:19,2023-10-30 14:43,2023-10-30 14:52,299,6966.72,241,5752.64,272,6114.44,207,4690.2,277,6925.76,237,5723.96,271,7102.96,333,8811.44,261,6784.96,35.2800735928108,128.715606787105
진영(순천) 휴게소,경상남도 김해시 진영읍 하계로96번길 68 ,휴게시설,고속도로 휴게소,ME19D401,4,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:03,2023-10-30 13:25,2023-10-30 14:04,2023-10-30 14:38,382,8965.48,341,7813.4,348,8104.76,373,8777.56,318,7999.88,324,8389.56,230,5689.96,353,9176.52,352,8004.0,35.2800735928108,128.715606787105
동부스포츠센터,경상남도 김해시 삼방동 840-2 ,교육문화시설,경기장,ME19E110,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 13:23,2023-10-30 13:57,,117,2647.56,133,2979.98,162,4366.97,121,3277.25,108,3177.94,120,3519.09,124,3436.35,161,3943.78,143,2467.69,35.2564744409131,128.905757817955
반룡공원주차장,경상남도 김해시 관동동 332 ,주차시설,공원주차장,ME19E111,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:05,2023-10-30 10:26,2023-10-30 10:56,,57,995.78,46,819.06,56,1074.14,72,1525.02,61,1565.92,114,2585.33,122,3101.88,118,2825.5,86,2072.46,35.1795627814568,128.805457085534
화포천생태학습관(주차장),경상남도 김해시 한림면 퇴래리 1363 ,관광시설,관광지,ME19E112,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:01,2023-10-30 11:42,2023-10-30 12:01,,96,1808.99,93,1970.27,95,2015.74,81,1998.41,63,1899.24,62,1471.82,84,2308.52,81,2346.04,78,1878.63,35.3108078726749,128.789242157947
국민건강보험공단 김해지사,"경상남도 김해시 전하로176번길 79, 1층 ",공공시설,공공기관,ME19F102,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-27 17:55,2023-10-27 18:32,,43,1012.95,40,813.47,43,944.99,22,671.02,26,696.65,49,1294.06,65,1760.67,72,2064.18,60,1697.04,35.2235747975201,128.87445647828
장유도서관,경상남도 김해시 대청로176번길 7 ,근린생활시설,도서관,ME19F241,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:45,2023-10-30 14:36,2023-10-30 14:45,,340,7126.09,286,5998.66,275,5566.0,169,3433.83,134,2692.95,58,1113.27,164,3562.6,156,3054.84,147,3489.6,35.1913540310428,128.7970325409
장유도서관,경상남도 김해시 대청로176번길 7 ,근린생활시설,도서관,ME19F241,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:02,2023-10-30 10:02,2023-10-30 10:42,,269,6241.04,222,4936.89,193,4445.57,160,3742.67,151,3763.03,175,4086.92,182,4836.85,220,5396.22,144,3492.71,35.1913540310428,128.7970325409
김해산업진흥의생명융합재단,경상남도 김해시 골든루트로 80-59 ,공공시설,공공기관,ME19F242,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:38,2023-10-30 6:21,2023-10-30 7:02,,59,931.88,58,718.25,41,398.02,54,704.72,59,482.62,52,803.98,44,1002.33,73,1621.93,46,1225.49,35.2149946069052,128.832271264702
김해산업진흥의생명융합재단,경상남도 김해시 골든루트로 80-59 ,공공시설,공공기관,ME19F242,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:50,2023-10-30 12:28,2023-10-30 12:48,,71,786.1,56,699.76,61,626.97,78,1061.58,56,705.55,84,1007.34,52,1350.39,66,1563.16,50,1336.18,35.2149946069052,128.832271264702
진영국토관리사무소,경상남도 김해시 진영읍 하계로 70 ,공공시설,관공서,ME19F250,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:01,2023-10-30 14:21,2023-10-30 15:01,,20,302.1,11,206.61,9,166.33,34,602.8,34,786.48,36,814.81,27,625.47,18,454.65,12,288.34,35.2866696922285,128.71160680978
진영국토관리사무소,경상남도 김해시 진영읍 하계로 70 ,공공시설,관공서,ME19F250,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-04 9:13,2023-10-04 9:15,,10,190.47,7,92.59,16,302.47,11,217.61,8,175.58,17,233.86,11,254.63,10,178.15,6,166.07,35.2866696922285,128.71160680978
김해유통센터,경상남도 김해시 신문동 1421,기타시설,기타,ME19X416,41,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:05,2023-10-28 15:25,2023-10-28 16:03,,125,2450.35,73,1541.16,90,1639.49,70,1391.66,46,942.54,58,1106.27,65,1446.71,50,1099.77,92,1675.08,35.1850843260079,128.835381631192
김해유통센터,경상남도 김해시 신문동 1421,기타시설,기타,ME19X416,42,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:02,2023-10-30 14:26,2023-10-30 14:42,,50,979.22,35,681.24,46,827.41,38,838.57,57,1097.14,22,526.65,56,1132.21,52,1183.59,97,1763.38,35.1850843260079,128.835381631192
김해유통센터,경상남도 김해시 신문동 1421,기타시설,기타,ME19X416,43,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:03,2023-10-29 15:06,2023-10-29 15:26,2023-10-30 14:48,72,1478.6,60,1274.4,66,1401.18,40,731.29,36,737.87,40,818.76,56,1161.3,55,1125.08,80,1482.36,35.1850843260079,128.835381631192
김해유통센터,경상남도 김해시 신문동 1421,기타시설,기타,ME19X416,44,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 14:03,2023-10-30 14:40,,78,1682.09,79,1368.33,80,1553.87,106,2119.48,88,1702.39,82,1686.09,83,1526.37,133,2616.38,79,1425.65,35.1850843260079,128.835381631192
