건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
7101,종합병원,115750,3,128.869611,35.25670268
6203,대형판매점,157842,3,128.8387584,35.23516561
6203,대형판매점,969,3,128.8702622,35.24190401
6203,대형판매점,970,3,128.8694373,35.24158255
6203,대형판매점,971,3,128.8691474,35.24158569
6203,대형판매점,972,3,128.8701978,35.24115563
6203,대형판매점,973,3,128.8740283,35.22606104
7101,종합병원,679,3,128.8821916,35.22673183
6203,대형판매점,705,3,128.8863046,35.2270223
6203,대형판매점,2115,3,128.8453325,35.27524758
6203,대형판매점,727,3,128.8880493,35.22716159
6203,대형판매점,2120,3,128.8440846,35.27537502
6203,대형판매점,2134,3,128.8383844,35.27574903
6203,대형판매점,2135,3,128.8387106,35.2757386
6203,대형판매점,2136,3,128.8385848,35.27570354
6203,대형판매점,738,3,128.8917155,35.22750602
6203,대형판매점,1080,3,128.9063655,35.22909861
6203,대형판매점,2137,3,128.8384873,35.27588066
6203,대형판매점,2141,3,128.8398734,35.27519353
6203,대형판매점,2142,3,128.8399166,35.27512886
6203,대형판매점,2150,3,128.842721,35.27561036
6203,대형판매점,2157,3,128.8356492,35.27697247
6203,대형판매점,2158,3,128.8350869,35.2770335
6203,대형판매점,2169,3,128.8322389,35.27697987
6203,대형판매점,2180,3,128.8261713,35.27721335
6203,대형판매점,2183,3,128.8263378,35.27747069
6203,대형판매점,1108,3,128.9149066,35.22917866
6203,대형판매점,2195,3,128.8289916,35.2768063
6203,대형판매점,2196,3,128.8286015,35.27715885
6203,대형판매점,2199,3,128.8279332,35.27726551
6203,대형판매점,2200,3,128.8280581,35.27719746
6203,대형판매점,2201,3,128.828245,35.27711016
6203,대형판매점,1126,3,128.9118891,35.22840078
6203,대형판매점,1127,3,128.9117692,35.22839403
6203,대형판매점,1128,3,128.9116485,35.22839342
6203,대형판매점,1133,3,128.9126209,35.22824685
6203,대형판매점,1134,3,128.9125214,35.22836077
6203,대형판매점,1146,3,128.9137329,35.22828756
6203,대형판매점,1147,3,128.9136851,35.22856964
6203,대형판매점,1148,3,128.9137297,35.22836989
6203,대형판매점,1149,3,128.9137854,35.22861208
6203,대형판매점,1150,3,128.9137745,35.22845596
6203,대형판매점,1151,3,128.913814,35.22833252
6203,대형판매점,1152,3,128.9139209,35.22848101
6203,대형판매점,1158,3,128.9148682,35.22825547
6203,대형판매점,1159,3,128.9147064,35.22856241
6203,대형판매점,1160,3,128.9149102,35.22860195
6203,대형판매점,1161,3,128.9149976,35.22867381
6203,대형판매점,872,3,128.8630708,35.2648417
6203,대형판매점,873,3,128.8629036,35.26468045
6203,대형판매점,874,3,128.8627463,35.26469651
6203,대형판매점,875,3,128.8627436,35.26493466
6203,대형판매점,876,3,128.8627738,35.2648528
6203,대형판매점,877,3,128.8626706,35.26488859
6203,대형판매점,878,3,128.8628183,35.26497791
6203,대형판매점,590,3,128.8929496,35.22766337
6203,대형판매점,595,3,128.8937291,35.22767401
6203,대형판매점,1335,3,128.9224864,35.22897883
6203,대형판매점,1336,3,128.9224202,35.22886581
6203,대형판매점,1339,3,128.9219444,35.22913571
6203,대형판매점,16599,3,128.8011152,35.32315963
6203,대형판매점,16130,3,128.7379754,35.30044321
6203,대형판매점,16149,3,128.7356391,35.29346182
6203,대형판매점,16150,3,128.7355642,35.29363857
6203,대형판매점,16151,3,128.7357238,35.29358517
6203,대형판매점,16152,3,128.7357014,35.29353334
6203,대형판매점,16153,3,128.7355828,35.29351644
6203,대형판매점,16154,3,128.7356258,35.29361492
6203,대형판매점,16155,3,128.7357503,35.29363685
6203,대형판매점,4446,3,128.8664293,35.24044732
4023,복합유통.제공업소,5318,3,128.7965107,35.19675483
6203,대형판매점,8289,3,128.8029837,35.19226541
7101,종합병원,5175,3,128.8670147,35.23818205
6203,대형판매점,4238,3,128.8741358,35.24854019
