gid,lon,lat
마라09ab99bb,128.7028144000,35.2884040300
마라09ba98ba,128.7053961000,35.2771078900
마라09ba98bb,128.7054295000,35.2793616400
마라09ba99aa,128.7054629000,35.2816154000
마라09ba99ab,128.7054963000,35.2838691500
마라09ba99ba,128.7055297000,35.2861229100
마라09ba99bb,128.7055631000,35.2883766600
마라09bb98aa,128.7080775000,35.2725729600
마라09bb98ab,128.7081110000,35.2748267100
마라09bb98ba,128.7081445000,35.2770804700
마라09bb98bb,128.7081779000,35.2793342200
마라09bb99aa,128.7082114000,35.2815879800
마라09bb99ab,128.7082449000,35.2838417300
마라09bb99ba,128.7082784000,35.2860954800
마라09bb99bb,128.7083119000,35.2883492300
마라10aa96bb,128.7106581000,35.2612767000
마라10aa97aa,128.7106916000,35.2635304600
마라10aa97ab,128.7107251000,35.2657842200
마라10aa97ba,128.7107586000,35.2680379700
마라10aa97bb,128.7107922000,35.2702917300
마라10aa98aa,128.7108257000,35.2725454800
마라10aa98ab,128.7108593000,35.2747992300
마라10aa98ba,128.7108928000,35.2770529900
마라10aa98bb,128.7109264000,35.2793067400
마라10aa99aa,128.7109599000,35.2815604900
마라10aa99ab,128.7109935000,35.2838142400
마라10aa99ba,128.7110271000,35.2860679900
마라10aa99bb,128.7110606000,35.2883217400
마라10ab96aa,128.7133051000,35.2544879000
마라10ab96ab,128.7133387000,35.2567416600
마라10ab96ba,128.7133723000,35.2589954200
마라10ab96bb,128.7134059000,35.2612491700
마라10ab97aa,128.7134395000,35.2635029300
마라10ab97ab,128.7134731000,35.2657566800
마라10ab97ba,128.7135067000,35.2680104400
마라10ab97bb,128.7135403000,35.2702641900
마라10ab98aa,128.7135739000,35.2725179400
마라10ab98ab,128.7136076000,35.2747716900
마라10ab98ba,128.7136412000,35.2770254400
마라10ab98bb,128.7136748000,35.2792791900
마라10ab99aa,128.7137084000,35.2815329400
마라10ab99ab,128.7137421000,35.2837866900
마라10ab99ba,128.7137757000,35.2860404400
마라10ab99bb,128.7138094000,35.2882941800
마라10ba95bb,128.7160190000,35.2522065600
마라10ba96aa,128.7160527000,35.2544603200
마라10ba96ab,128.7160864000,35.2567140700
마라10ba96ba,128.7161200000,35.2589678300
마라10ba96bb,128.7161537000,35.2612215800
마라10ba97aa,128.7161874000,35.2634753400
마라10ba97ab,128.7162211000,35.2657290900
마라10ba97ba,128.7162547000,35.2679828400
마라10ba97bb,128.7162884000,35.2702365900
마라10ba98aa,128.7163221000,35.2724903400
마라10ba98ab,128.7163558000,35.2747440900
마라10ba98ba,128.7163895000,35.2769978400
마라10ba98bb,128.7164232000,35.2792515800
마라10ba99aa,128.7164569000,35.2815053300
마라10ba99ab,128.7164907000,35.2837590800
마라10ba99ba,128.7165244000,35.2860128200
마라10ba99bb,128.7165581000,35.2882665600
마라10bb94bb,128.7186316000,35.2431638900
마라10bb95aa,128.7186653000,35.2454176500
마라10bb95ab,128.7186991000,35.2476714100
마라10bb95ba,128.7187328000,35.2499251600
마라10bb95bb,128.7187665000,35.2521789200
마라10bb96aa,128.7188003000,35.2544326700
마라10bb96ab,128.7188340000,35.2566864300
마라10bb96ba,128.7188678000,35.2589401800
마라10bb96bb,128.7189015000,35.2611939300
마라10bb97aa,128.7189353000,35.2634476800
마라10bb97ab,128.7189690000,35.2657014300
마라10bb97ba,128.7190028000,35.2679551800
마라10bb97bb,128.7190366000,35.2702089300
마라10bb98aa,128.7190703000,35.2724626800
마라10bb98ab,128.7191041000,35.2747164200
마라10bb98ba,128.7191379000,35.2769701700
마라10bb98bb,128.7191717000,35.2792239100
마라10bb99aa,128.7192054000,35.2814776600
마라10bb99ab,128.7192392000,35.2837314000
마라10bb99ba,128.7192730000,35.2859851400
마라10bb99bb,128.7193068000,35.2882388800
마라11aa91bb,128.7209735000,35.2160910600
마라11aa92aa,128.7210073000,35.2183448200
마라11aa92ab,128.7210410000,35.2205985900
마라11aa92ba,128.7210748000,35.2228523500
마라11aa92bb,128.7211086000,35.2251061200
마라11aa93aa,128.7211423000,35.2273598800
마라11aa94bb,128.7213788000,35.2431361900
마라11aa95aa,128.7214126000,35.2453899500
마라11aa95ab,128.7214464000,35.2476437000
마라11aa95ba,128.7214802000,35.2498974600
마라11aa95bb,128.7215140000,35.2521512100
마라11aa96aa,128.7215479000,35.2544049600
마라11aa96ab,128.7215817000,35.2566587200
마라11aa96ba,128.7216155000,35.2589124700
마라11aa96bb,128.7216493000,35.2611662200
마라11aa97aa,128.7216832000,35.2634199600
마라11aa97ab,128.7217170000,35.2656737100
마라11aa97ba,128.7217508000,35.2679274600
마라11aa97bb,128.7217847000,35.2701812000
마라11aa98aa,128.7218185000,35.2724349500
마라11aa98ab,128.7218524000,35.2746886900
마라11aa98ba,128.7218862000,35.2769424400
마라11aa98bb,128.7219201000,35.2791961800
마라11aa99aa,128.7219539000,35.2814499200
마라11aa99ab,128.7219878000,35.2837036600
마라11aa99ba,128.7220217000,35.2859574000
마라11aa99bb,128.7220555000,35.2882111400
마라11ab91ab,128.7236522000,35.2115558000
마라11ab91ba,128.7236860000,35.2138095600
마라11ab91bb,128.7237198000,35.2160633300
마라11ab92aa,128.7237536000,35.2183170900
마라11ab92ab,128.7237875000,35.2205708500
마라11ab92ba,128.7238213000,35.2228246200
마라11ab92bb,128.7238552000,35.2250783800
마라11ab93aa,128.7238890000,35.2273321400
마라11ab93ab,128.7239228000,35.2295859000
마라11ab93ba,128.7239567000,35.2318396600
마라11ab93bb,128.7239906000,35.2340934100
마라11ab94aa,128.7240244000,35.2363471700
마라11ab94ab,128.7240583000,35.2386009300
마라11ab94ba,128.7240922000,35.2408546800
마라11ab94bb,128.7241260000,35.2431084400
마라11ab95aa,128.7241599000,35.2453621900
마라11ab95ab,128.7241938000,35.2476159400
마라11ab95ba,128.7242277000,35.2498696900
마라11ab95bb,128.7242616000,35.2521234400
마라11ab96aa,128.7242954000,35.2543771900
마라11ab96ab,128.7243293000,35.2566309400
마라11ab96ba,128.7243632000,35.2588846900
마라11ab96bb,128.7243971000,35.2611384400
마라11ab97aa,128.7244310000,35.2633921800
마라11ab97ab,128.7244650000,35.2656459300
마라11ab97ba,128.7244989000,35.2678996700
마라11ab97bb,128.7245328000,35.2701534200
마라11ab98aa,128.7245667000,35.2724071600
마라11ab98ab,128.7246006000,35.2746609000
마라11ab98ba,128.7246346000,35.2769146400
마라11ab98bb,128.7246685000,35.2791683800
마라11ab99aa,128.7247024000,35.2814221200
마라11ab99ab,128.7247364000,35.2836758600
마라11ab99ba,128.7247703000,35.2859296000
마라11ab99bb,128.7248043000,35.2881833400
마라11ba90bb,128.7263305000,35.2070204800
마라11ba91aa,128.7263644000,35.2092742400
마라11ba91ab,128.7263983000,35.2115280100
마라11ba91ba,128.7264322000,35.2137817700
마라11ba91bb,128.7264661000,35.2160355300
마라11ba92aa,128.7265000000,35.2182893000
마라11ba92ab,128.7265339000,35.2205430600
마라11ba92ba,128.7265678000,35.2227968200
마라11ba92bb,128.7266017000,35.2250505700
마라11ba93aa,128.7266357000,35.2273043300
마라11ba93ab,128.7266696000,35.2295580900
마라11ba93ba,128.7267035000,35.2318118500
마라11ba93bb,128.7267375000,35.2340656000
마라11ba94aa,128.7267714000,35.2363193600
마라11ba94ab,128.7268053000,35.2385731100
마라11ba94ba,128.7268393000,35.2408268600
마라11ba94bb,128.7268732000,35.2430806100
마라11ba95aa,128.7269072000,35.2453343700
마라11ba95ab,128.7269411000,35.2475881200
마라11ba95ba,128.7269751000,35.2498418600
마라11ba95bb,128.7270091000,35.2520956100
마라11ba96aa,128.7270430000,35.2543493600
마라11ba96ab,128.7270770000,35.2566031100
마라11ba96ba,128.7271110000,35.2588568500
마라11ba96bb,128.7271449000,35.2611106000
마라11ba97aa,128.7271789000,35.2633643400
마라11ba97ab,128.7272129000,35.2656180900
마라11ba97ba,128.7272469000,35.2678718300
마라11ba97bb,128.7272809000,35.2701255700
마라11ba98aa,128.7273149000,35.2723793100
마라11ba98ab,128.7273489000,35.2746330500
