gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라27ab96aa,0.0,128.9001324,35.25247019,0.0,0.16,0.0,3.0,0.012296341838303101,0.0,-0.0,-0.0,3.1722963418383032,1
마라23bb96ba,0.0,128.8617449,35.25741642,0.0,0.12,0.0,3.0,0.0,0.0,-0.0,-0.1955924855833333,2.924407514416667,2
마라28ba93ab,0.0,128.9134387,35.22752104,0.6225165562913907,0.0,2.0,0.0,0.0,0.0,-0.0,-0.0,2.622516556291391,3
마라26bb93ba,0.0,128.8942519,35.22999764,0.4304635761589404,0.52,1.0,0.0,0.3110974485090685,0.0,-0.0,-0.0,2.261561024668009,4
마라23ba93bb,0.0,128.8585838,35.23265735,0.5695364238410596,0.0,0.2,0.75,0.15247463879495848,0.5414507772020726,-0.0,-0.0,2.2134618398380908,5
마라24ab97aa,0.1054945054945055,128.8673157,35.26186169,0.2251655629139073,0.0,0.0,1.875,0.05717798954810943,0.0,-0.0,-0.0,2.1573435524620166,6
마라19bb90aa,0.0,128.8168366,35.19930761,0.271523178807947,0.4,1.0,0.0,0.3778051029818629,0.0,-0.0,-0.0,2.0493282817898097,7
마마30aa02ab,0.0,128.9313439,35.30845548,0.2185430463576159,0.04,0.8,1.125,0.02828158622809714,0.12176165803108809,-0.0,-0.2844532755,2.0491330151168006,8
마라24aa98aa,0.0,128.8647192,35.27090719,0.013245033112582781,0.28,0.0,0.375,0.35874577313249306,1.0,-0.0,-0.0,2.0269908062450757,9
마라27ab93bb,0.0,128.8997838,35.23218783,0.2913907284768212,0.04,0.6000000000000001,0.75,0.2978788810328927,0.0,-0.0,-0.0,1.979269609509714,10
마라24bb98aa,0.0,128.8729631,35.2708139,0.0,0.08,0.0,1.875,0.0030740854595757753,0.0,-0.0,-0.0,1.958074085459576,11
마마12aa01ba,0.0,128.7332898,35.30387563,0.543046357615894,0.08,0.6000000000000001,0.75,0.08054103904088533,0.0,-0.0,-0.1,1.9535873966567792,12
마라20ba98bb,0.0,128.8263572,35.27809607,0.2052980132450331,0.12,1.6,0.0,0.0,0.0,-0.0,-0.0,1.9252980132450332,13
마라23bb93bb,0.0,128.8613305,35.23262649,0.2185430463576159,0.56,0.0,0.75,0.31632339379034735,0.0,-0.0,-0.0,1.8448664401479633,14
마라27aa93bb,0.0,128.8970372,35.23221957,0.4768211920529801,0.04,0.8,0.375,0.14601905932984935,0.0,-0.0,-0.0,1.8378402513828296,15
마라26aa93ab,0.0,128.8859739,35.22783867,0.5231788079470199,0.32,0.2,0.375,0.06363356901321857,0.34196891191709844,-0.0,-0.0,1.823781288877337,16
마라24ab97bb,0.0,128.8674293,35.26862254,0.039735099337748346,0.72,0.0,0.0,1.0,0.0,-0.0,-0.0,1.7597350993377483,17
마라22ba93ba,0.0,128.8475596,35.23052654,0.07947019867549669,0.8,0.0,0.0,0.857362434675684,0.0,-0.0,-0.0,1.7368326333511805,18
마라28bb94ba,0.0,128.9163811,35.23875685,0.08609271523178808,0.6,0.0,0.375,0.7267138026437134,0.0,-0.0,-0.08075626204166667,1.7070502558338347,19
