gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,충전소,차량속도,lon,lat
마라09ab99bb,0,0,0,0,,,0,0,,128.7028144,35.28840403
마라09ba98ba,0,0,0,0,,,0,0,,128.7053961,35.27710789
마라09ba98bb,0,0,0,0,,,0,0,,128.7054295,35.27936164
마라09ba99aa,0,0,0,0,,,0,0,,128.7054629,35.2816154
마라09ba99ab,0,0,0,0,,,0,0,,128.7054963,35.28386915
마라09ba99ba,0,0,0,0,,,0,0,,128.7055297,35.28612291
마라09ba99bb,0,0,0,0,,,0,0,18.56213873,128.7055631,35.28837666
마라09bb98aa,0,0,0,0,,,0,0,,128.7080775,35.27257296
마라09bb98ab,0,0,0,0,,,0,0,,128.708111,35.27482671
마라09bb98ba,0,0,0,0,,,0,0,,128.7081445,35.27708047
마라09bb98bb,0,0,0,0,,0.0,0,0,71.0,128.7081779,35.27933422
마라09bb99aa,1,0,0,0,,22.0,0,0,,128.7082114,35.28158798
마라09bb99ab,1,0,0,0,,,0,0,,128.7082449,35.28384173
마라09bb99ba,1,0,0,0,,0.0,0,0,,128.7082784,35.28609548
마라09bb99bb,1,0,0,0,,,0,0,,128.7083119,35.28834923
마라10aa96bb,0,0,0,0,,,0,0,,128.7106581,35.2612767
마라10aa97aa,0,0,0,0,,,0,0,,128.7106916,35.26353046
마라10aa97ab,0,0,0,0,,,0,0,,128.7107251,35.26578422
마라10aa97ba,0,0,0,0,,,0,0,,128.7107586,35.26803797
마라10aa97bb,3,0,0,0,,0.0,0,0,,128.7107922,35.27029173
마라10aa98aa,0,0,0,0,,,0,0,,128.7108257,35.27254548
마라10aa98ab,0,0,0,0,,,0,0,,128.7108593,35.27479923
마라10aa98ba,0,0,0,0,,,0,0,,128.7108928,35.27705299
마라10aa98bb,0,0,0,0,,,0,0,,128.7109264,35.27930674
마라10aa99aa,2,0,0,0,,0.0,0,0,,128.7109599,35.28156049
마라10aa99ab,0,0,0,0,,,0,0,,128.7109935,35.28381424
마라10aa99ba,21,0,0,0,,0.0,0,2,,128.7110271,35.28606799
마라10aa99bb,15,0,0,0,,0.0,0,0,,128.7110606,35.28832174
마라10ab96aa,0,0,0,0,,,0,0,,128.7133051,35.2544879
마라10ab96ab,0,0,0,0,,,0,0,,128.7133387,35.25674166
마라10ab96ba,0,0,0,0,,,0,0,,128.7133723,35.25899542
마라10ab96bb,0,0,0,0,,,0,0,,128.7134059,35.26124917
마라10ab97aa,0,0,0,0,,,0,0,,128.7134395,35.26350293
마라10ab97ab,0,0,0,0,,,0,0,,128.7134731,35.26575668
마라10ab97ba,1,0,0,0,,0.0,0,0,,128.7135067,35.26801044
마라10ab97bb,6,0,0,0,,0.0,0,0,,128.7135403,35.27026419
마라10ab98aa,1,0,0,0,,0.0,0,0,,128.7135739,35.27251794
마라10ab98ab,0,0,0,0,,0.0,0,0,,128.7136076,35.27477169
마라10ab98ba,0,0,0,0,,,0,0,,128.7136412,35.27702544
마라10ab98bb,0,6,0,0,,,0,0,,128.7136748,35.27927919
마라10ab99aa,3,0,0,0,,,0,0,,128.7137084,35.28153294
마라10ab99ab,5,0,0,0,,0.0,0,0,,128.7137421,35.28378669
마라10ab99ba,34,0,0,0,,49.0,0,0,,128.7137757,35.28604044
마라10ab99bb,2,0,0,0,,,0,0,,128.7138094,35.28829418
마라10ba95bb,0,0,0,0,,,0,0,,128.716019,35.25220656
마라10ba96aa,0,0,0,0,,,0,0,,128.7160527,35.25446032
마라10ba96ab,0,0,0,0,,,0,0,,128.7160864,35.25671407
마라10ba96ba,0,0,0,0,,,0,0,,128.71612,35.25896783
마라10ba96bb,0,0,0,0,,,0,0,,128.7161537,35.26122158
마라10ba97aa,0,0,0,0,,,0,0,,128.7161874,35.26347534
마라10ba97ab,0,0,0,0,,,0,0,,128.7162211,35.26572909
마라10ba97ba,0,0,0,0,,,0,0,,128.7162547,35.26798284
마라10ba97bb,0,0,0,0,,,0,0,,128.7162884,35.27023659
마라10ba98aa,1,0,0,0,,,0,0,,128.7163221,35.27249034
마라10ba98ab,1,0,0,0,,0.0,0,0,,128.7163558,35.27474409
마라10ba98ba,1,0,0,0,,,0,0,,128.7163895,35.27699784
마라10ba98bb,14,0,0,0,,,0,5,,128.7164232,35.27925158
마라10ba99aa,2,0,0,0,,,0,0,15.0,128.7164569,35.28150533
마라10ba99ab,4,0,0,0,,,0,0,,128.7164907,35.28375908
마라10ba99ba,7,0,0,0,,0.0,0,0,,128.7165244,35.28601282
마라10ba99bb,0,0,0,0,,,1,0,,128.7165581,35.28826656
마라10bb94bb,0,0,0,0,,,0,0,,128.7186316,35.24316389
마라10bb95aa,0,0,0,0,,,0,0,,128.7186653,35.24541765
마라10bb95ab,0,0,0,0,,,0,0,,128.7186991,35.24767141
마라10bb95ba,0,0,0,0,,,0,0,,128.7187328,35.24992516
마라10bb95bb,0,0,0,0,,,0,0,,128.7187665,35.25217892
마라10bb96aa,0,0,0,0,,,0,0,,128.7188003,35.25443267
마라10bb96ab,0,0,0,0,,,0,0,,128.718834,35.25668643
마라10bb96ba,0,0,0,0,,,0,0,,128.7188678,35.25894018
마라10bb96bb,0,0,0,0,,,0,0,,128.7189015,35.26119393
마라10bb97aa,0,0,0,0,,,0,0,,128.7189353,35.26344768
마라10bb97ab,0,0,0,0,,,0,0,,128.718969,35.26570143
마라10bb97ba,0,0,0,0,,,0,0,,128.7190028,35.26795518
마라10bb97bb,0,0,0,0,,,0,0,,128.7190366,35.27020893
마라10bb98aa,0,0,0,0,,,0,0,,128.7190703,35.27246268
마라10bb98ab,0,0,0,0,,0.0,0,0,,128.7191041,35.27471642
마라10bb98ba,3,0,0,0,,9.0,0,0,41.0,128.7191379,35.27697017
마라10bb98bb,0,0,0,0,,,0,0,,128.7191717,35.27922391
마라10bb99aa,6,0,0,0,,,0,0,22.0,128.7192054,35.28147766
마라10bb99ab,32,0,0,0,,0.0,0,0,,128.7192392,35.2837314
마라10bb99ba,44,0,0,0,,19.0,0,0,,128.719273,35.28598514
마라10bb99bb,4,0,0,0,,12.0,0,0,,128.7193068,35.28823888
마라11aa91bb,0,0,0,0,,,0,0,,128.7209735,35.21609106
마라11aa92aa,0,0,0,0,,,0,0,,128.7210073,35.21834482
마라11aa92ab,0,0,0,0,,,0,0,,128.721041,35.22059859
마라11aa92ba,0,0,0,0,,,0,0,,128.7210748,35.22285235
마라11aa92bb,0,0,0,0,,,0,0,,128.7211086,35.22510612
마라11aa93aa,0,0,0,0,,,0,0,,128.7211423,35.22735988
마라11aa94bb,0,0,0,0,,,0,0,,128.7213788,35.24313619
마라11aa95aa,0,0,0,0,,,0,0,,128.7214126,35.24538995
마라11aa95ab,0,0,0,0,,,0,0,,128.7214464,35.2476437
마라11aa95ba,0,0,0,0,,,0,0,,128.7214802,35.24989746
마라11aa95bb,0,0,0,0,,,0,0,,128.721514,35.25215121
마라11aa96aa,0,0,0,0,,,0,0,,128.7215479,35.25440496
마라11aa96ab,0,0,0,0,,,0,0,,128.7215817,35.25665872
마라11aa96ba,0,0,0,0,,,0,0,,128.7216155,35.25891247
마라11aa96bb,0,0,0,0,,,0,0,,128.7216493,35.26116622
마라11aa97aa,0,0,0,0,,,0,0,,128.7216832,35.26341996
마라11aa97ab,0,0,0,0,,,0,0,,128.721717,35.26567371
마라11aa97ba,0,0,0,0,,,0,0,,128.7217508,35.26792746
마라11aa97bb,0,0,0,0,,,0,0,,128.7217847,35.2701812
마라11aa98aa,0,0,0,0,,0.0,0,0,,128.7218185,35.27243495
마라11aa98ab,0,0,0,0,,15.0,0,0,,128.7218524,35.27468869
마라11aa98ba,0,0,0,0,,,0,0,16.09248555,128.7218862,35.27694244
마라11aa98bb,0,0,0,0,,,0,0,,128.7219201,35.27919618
마라11aa99aa,25,0,0,0,,,0,0,,128.7219539,35.28144992
마라11aa99ab,3,0,0,0,,,0,0,,128.7219878,35.28370366
마라11aa99ba,45,0,0,0,,0.0,0,0,,128.7220217,35.2859574
마라11aa99bb,7,0,0,0,,0.0,0,0,,128.7220555,35.28821114
마라11ab91ab,0,0,0,0,,,0,0,,128.7236522,35.2115558
마라11ab91ba,0,0,0,0,,,0,0,,128.723686,35.21380956
마라11ab91bb,0,0,0,0,,,0,0,,128.7237198,35.21606333
마라11ab92aa,0,0,0,0,,,0,0,,128.7237536,35.21831709
마라11ab92ab,0,0,0,0,,,0,0,,128.7237875,35.22057085
마라11ab92ba,0,0,0,0,,,0,0,,128.7238213,35.22282462
마라11ab92bb,0,0,0,0,,,0,0,,128.7238552,35.22507838
마라11ab93aa,0,0,0,0,,,0,0,,128.723889,35.22733214
마라11ab93ab,0,0,0,0,,,0,0,,128.7239228,35.2295859
마라11ab93ba,0,0,0,0,,,0,0,,128.7239567,35.23183966
마라11ab93bb,0,0,0,0,,,0,0,,128.7239906,35.23409341
마라11ab94aa,0,0,0,0,,,0,0,,128.7240244,35.23634717
마라11ab94ab,0,0,0,0,,,0,0,,128.7240583,35.23860093
마라11ab94ba,0,0,0,0,,,0,0,,128.7240922,35.24085468
마라11ab94bb,0,0,0,0,,,0,0,,128.724126,35.24310844
마라11ab95aa,0,0,0,0,,,0,0,,128.7241599,35.24536219
마라11ab95ab,0,0,0,0,,,0,0,,128.7241938,35.24761594
마라11ab95ba,0,0,0,0,,,0,0,,128.7242277,35.24986969
마라11ab95bb,0,0,0,0,,,0,0,,128.7242616,35.25212344
마라11ab96aa,0,0,0,0,,,0,0,,128.7242954,35.25437719
마라11ab96ab,0,0,0,0,,,0,0,,128.7243293,35.25663094
마라11ab96ba,0,0,0,0,,,0,0,,128.7243632,35.25888469
마라11ab96bb,0,0,0,0,,,0,0,,128.7243971,35.26113844
마라11ab97aa,0,0,0,0,,,0,0,,128.724431,35.26339218
마라11ab97ab,0,0,0,0,,,0,0,,128.724465,35.26564593
마라11ab97ba,0,0,0,0,,,0,0,,128.7244989,35.26789967
마라11ab97bb,1,0,0,0,,0.0,0,0,,128.7245328,35.27015342
마라11ab98aa,0,0,0,0,,,0,0,,128.7245667,35.27240716
마라11ab98ab,0,0,0,0,,,0,0,,128.7246006,35.2746609
마라11ab98ba,0,0,0,0,,,0,0,,128.7246346,35.27691464
마라11ab98bb,14,0,0,0,,0.0,0,0,17.90751445,128.7246685,35.27916838
마라11ab99aa,27,0,0,0,,,0,0,,128.7247024,35.28142212
마라11ab99ab,12,0,0,0,,,0,0,,128.7247364,35.28367586
마라11ab99ba,27,0,0,0,,,0,0,,128.7247703,35.2859296
마라11ab99bb,0,0,0,0,,0.0,0,0,,128.7248043,35.28818334
마라11ba90bb,0,0,0,0,,,0,0,,128.7263305,35.20702048
마라11ba91aa,0,0,0,0,,,0,0,,128.7263644,35.20927424
마라11ba91ab,0,0,0,0,,,0,0,,128.7263983,35.21152801
마라11ba91ba,0,0,0,0,,,0,0,,128.7264322,35.21378177
마라11ba91bb,0,0,0,0,,,0,0,,128.7264661,35.21603553
마라11ba92aa,0,0,0,0,,,0,0,,128.7265,35.2182893
마라11ba92ab,0,0,0,0,,,0,0,,128.7265339,35.22054306
마라11ba92ba,0,0,0,0,,,0,0,,128.7265678,35.22279682
마라11ba92bb,0,0,0,0,,,0,0,,128.7266017,35.22505057
마라11ba93aa,0,0,0,0,,,0,0,,128.7266357,35.22730433
마라11ba93ab,0,0,0,0,,,0,0,,128.7266696,35.22955809
마라11ba93ba,0,0,0,0,,,0,0,,128.7267035,35.23181185
마라11ba93bb,0,0,0,0,,,0,0,,128.7267375,35.2340656
마라11ba94aa,0,0,0,0,,,0,0,,128.7267714,35.23631936
마라11ba94ab,0,0,0,0,,,0,0,,128.7268053,35.23857311
마라11ba94ba,0,0,0,0,,,0,0,,128.7268393,35.24082686
마라11ba94bb,0,0,0,0,,,0,0,,128.7268732,35.24308061
마라11ba95aa,0,0,0,0,,,0,0,,128.7269072,35.24533437
마라11ba95ab,0,0,0,0,,,0,0,,128.7269411,35.24758812
마라11ba95ba,0,0,0,0,,,0,0,,128.7269751,35.24984186
마라11ba95bb,0,0,0,0,,,0,0,,128.7270091,35.25209561
마라11ba96aa,0,0,0,0,,,0,0,,128.727043,35.25434936
마라11ba96ab,0,0,0,0,,,0,0,,128.727077,35.25660311
마라11ba96ba,0,0,0,0,,,0,0,,128.727111,35.25885685
마라11ba96bb,0,0,0,0,,,0,0,,128.7271449,35.2611106
