충전소명,마지막 충전시작일시,마지막 충전종료일시,총충전량,총이용수,일평균충전량,일평균이용수,LON,LAT,gid
장유(서부산) 휴게소,2023/10/30,2023/10/30,16259.41,1036,59.55827838827839,3.7948717948717947,128.793845393654,35.2124648669912,마라17bb91ba
장유(서부산) 휴게소,2023/10/30,2023/10/30,27368.69,1839,100.25161172161172,6.736263736263736,128.793845393654,35.2124648669912,마라17bb91ba
롯데마트 장유점,2023/10/29,2023/10/29,17044.620000000003,956,62.4345054945055,3.501831501831502,128.801298158007,35.1930378947962,마라18ab89ab
롯데마트 김해점,2023/10/30,2023/10/30,7466.9400000000005,636,27.351428571428574,2.32967032967033,128.882049047961,35.2255464451957,마라25bb93aa
김해금관가야(기장) 휴게소,2023/10/30,2023/10/30,37079.74,2543,135.82322344322344,9.315018315018316,129.002794856551,35.2682286611914,마라36ba98aa
김해금관가야(기장) 휴게소,2023/10/30,2023/10/30,31270.49,1458,114.54391941391943,5.34065934065934,129.002794856551,35.2682286611914,마라36ba98aa
김해금관가야(기장) 휴게소,2023/10/30,2023/10/30,63702.58,2851,233.3427838827839,10.443223443223443,129.002794856551,35.2682286611914,마라36ba98aa
김해금관가야(창원) 휴게소,2023/10/30,2023/10/30,28196.160000000003,1797,103.28263736263737,6.582417582417582,129.002794856551,35.2682286611914,마라36ba98aa
김해금관가야(창원) 휴게소,2023/10/29,2023/10/29,22876.480000000003,1034,83.79663003663005,3.7875457875457874,129.002794856551,35.2682286611914,마라36ba98aa
김해금관가야(창원) 휴게소,2023/10/30,2023/10/30,55103.14000000001,2360,201.84300366300369,8.644688644688644,129.002794856551,35.2682286611914,마라36ba98aa
김해시 차량등록사업소,2023/10/30,2023/10/30,2646.51,211,9.694175824175826,0.7728937728937729,128.889394622761,35.2286111782636,마라26ab93ab
대청계곡 공영주차장,2023/10/30,2023/10/30,18442.92,581,67.55648351648351,2.128205128205128,128.773625691642,35.1841962734014,마라15bb88ab
가야테마파크,2023/10/29,2023/10/29,5275.820000000001,194,19.32534798534799,0.7106227106227107,128.89374938352,35.2516350785204,마라26bb96aa
김해서부문화센터,2023/10/29,2023/10/29,20180.27,758,73.92040293040293,2.7765567765567765,128.820944136217,35.1726044698372,마라20ab87aa
김해서부문화센터,2023/10/30,2023/10/30,32419.670000000006,1106,118.75336996336998,4.051282051282051,128.820944136217,35.1726044698372,마라20ab87aa
불암동주민센터,2023/10/30,2023/10/30,42257.70999999999,2220,154.7901465201465,8.131868131868131,128.926631983367,35.2220219133267,마라29bb92bb
봉화마을주차장,2023/10/30,2023/10/30,14388.68,570,52.705787545787544,2.087912087912088,128.769885256539,35.3138540691482,마마15ab02bb
임호체육공원,2023/10/30,2023/10/30,25411.589999999997,1020,93.08274725274724,3.7362637362637363,128.850532567301,35.2293092296222,마라22bb93ab
임호체육공원,2023/10/29,2023/10/29,24984.09,1005,91.51681318681318,3.681318681318681,128.850532567301,35.2293092296222,마라22bb93ab
민원청사 주차장(김해시청),2023/10/30,2023/10/30,47068.090000000004,2076,172.41058608058609,7.604395604395604,128.890257980108,35.2276260382622,마라26ba93ab
민원청사 주차장(김해시청),2023/10/30,2023/10/30,50807.83,2304,186.1092673992674,8.43956043956044,128.890257980108,35.2276260382622,마라26ba93ab
진영공설운동장,2023/10/30,2023/10/30,13085.72,528,47.93304029304029,1.934065934065934,128.717596256025,35.3075336064939,마마10ba02aa
진영공설운동장,2023/10/26,2023/10/26,10268.949999999999,428,37.61520146520146,1.5677655677655677,128.717596256025,35.3075336064939,마마10ba02aa
진영(순천) 휴게소,2023/10/30,2023/10/30,77705.48000000001,3532,284.6354578754579,12.937728937728938,128.715606787105,35.2800735928108,마라10ba98bb
진영(순천) 휴게소,2023/10/30,2023/10/30,60811.600000000006,2533,222.75311355311356,9.27838827838828,128.715606787105,35.2800735928108,마라10ba98bb
진영(순천) 휴게소,2023/10/30,2023/10/30,58873.08,2398,215.6523076923077,8.783882783882785,128.715606787105,35.2800735928108,마라10ba98bb
진영(순천) 휴게소,2023/10/30,2023/10/30,72921.12,3021,267.11032967032963,11.065934065934066,128.715606787105,35.2800735928108,마라10ba98bb
동부스포츠센터,2023/10/30,2023/10/30,29816.609999999997,1189,109.21835164835164,4.355311355311355,128.905757817955,35.2564744409131,마라27bb96ba
반룡공원주차장,2023/10/30,2023/10/30,16565.09,732,60.67798534798535,2.681318681318681,128.805457085534,35.1795627814568,마라18bb87bb
화포천생태학습관(주차장),2023/10/30,2023/10/30,17697.66,733,64.8265934065934,2.6849816849816848,128.789242157947,35.3108078726749,마마17aa02ab
국민건강보험공단 김해지사,2023/10/27,2023/10/27,10955.029999999999,420,40.128315018315014,1.5384615384615385,128.87445647828,35.2235747975201,마라25aa92bb
장유도서관,2023/10/30,2023/10/30,36037.840000000004,1729,132.00673992673995,6.333333333333333,128.7970325409,35.1913540310428,마라18aa89aa
장유도서관,2023/10/30,2023/10/30,40941.899999999994,1716,149.97032967032965,6.285714285714286,128.7970325409,35.1913540310428,마라18aa89aa
김해산업진흥의생명융합재단,2023/10/30,2023/10/30,7889.22,486,28.89824175824176,1.7802197802197801,128.832271264702,35.2149946069052,마라21ab91bb
김해산업진흥의생명융합재단,2023/10/30,2023/10/30,9137.03,574,33.468974358974364,2.1025641025641026,128.832271264702,35.2149946069052,마라21ab91bb
진영국토관리사무소,2023/10/30,2023/10/30,4247.59,201,15.55893772893773,0.7362637362637363,128.71160680978,35.2866696922285,마라10aa99ba
진영국토관리사무소,2023/10/04,2023/10/04,1811.43,96,6.6352747252747255,0.3516483516483517,128.71160680978,35.2866696922285,마라10aa99ba
김해유통센터,2023/10/28,2023/10/28,13293.03,669,48.69241758241758,2.4505494505494507,128.835381631192,35.1850843260079,마라21ba88ba
김해유통센터,2023/10/30,2023/10/30,9029.41,453,33.07476190476191,1.6593406593406594,128.835381631192,35.1850843260079,마라21ba88ba
김해유통센터,2023/10/29,2023/10/29,10210.84,505,37.40234432234432,1.84981684981685,128.835381631192,35.1850843260079,마라21ba88ba
김해유통센터,2023/10/30,2023/10/30,15680.65,808,57.438278388278384,2.95970695970696,128.835381631192,35.1850843260079,마라21ba88ba
김해유통센터,2023/10/30,2023/10/30,17538.88,869,64.2449816849817,3.183150183150183,128.835381631192,35.1850843260079,마라21ba88ba
봉황동유적지,2023/10/29,2023/10/29,28415.61,1218,104.08648351648353,4.461538461538462,128.874247338808,35.2309447893003,마라25aa93ba
김해하키경기장,2023/10/30,2023/10/30,27735.380000000005,1324,101.59479853479856,4.8498168498168495,128.90737798071,35.2563554530823,마라28aa96ba
김해문화의전당,2023/10/30,2023/10/30,42555.69,1829,155.88164835164835,6.6996336996337,128.869410782674,35.2437338143222,마라24ba95aa
김해중소기업비즈니스센터,2023/10/30,2023/10/30,34936.88,1708,127.9739194139194,6.256410256410256,128.831654432842,35.2131905569009,마라21aa91ba
무척산 주차장,2023/10/26,2023/10/26,2181.35,110,7.99029304029304,0.40293040293040294,128.854785944885,35.3468755073718,마마23aa06ba
무척산 주차장,2023/10/29,2023/10/29,5996.37,241,21.964725274725275,0.8827838827838828,128.854785944885,35.3468755073718,마마23aa06ba
안동체육공원,2023/10/30,2023/10/30,12805.810000000001,572,46.90772893772894,2.0952380952380953,128.921284679063,35.2409211825247,마라29ab94bb
김해시민체육공원,2023/10/30,2023/10/30,24763.17,932,90.70758241758242,3.413919413919414,128.878706495063,35.2588554138761,마라25ab96bb
국립용지봉자연휴양림,2023/10/26,2023/10/26,1632.81,76,5.980989010989011,0.2783882783882784,128.773933151791,35.1891192213886,마라15bb88bb
김해의생명센터 주차장,2023/10/30,2023/10/30,20370.57,902,74.61747252747253,3.304029304029304,128.832727386218,35.2153298848662,마라21ab91bb
김해의생명센터 주차장,2023/10/28,2023/10/28,22061.429999999997,1003,80.81109890109889,3.673992673992674,128.832727386218,35.2153298848662,마라21ab91bb
김해서부경찰서,2023/10/30,2023/10/30,27619.800000000003,963,101.17142857142858,3.5274725274725274,128.797287528166,35.190021869884,마라18aa89aa
금봉졸음쉼터,2023/10/04,2023/10/04,4864.27,204,17.81783882783883,0.7472527472527473,128.761873677321,35.3147335997497,마마14ba02bb
금봉졸음쉼터,2023/10/29,2023/10/29,4887.76,227,17.903882783882786,0.8315018315018315,128.761873677321,35.3147335997497,마마14ba02bb
진영(순천) 휴게소,2023/10/30,2023/10/30,16208.16,984,59.37054945054945,3.6043956043956045,128.715770838427,35.2798480367698,마라10ba98bb
진례초등학교,2023/10/30,2023/10/30,3037.0399999999995,100,11.124688644688643,0.3663003663003663,128.756079863126,35.2471819787346,마라14ab95ab
영광주유소,2023/10/30,2023/10/30,8.2,3,0.030036630036630034,0.01098901098901099,128.855855334304,35.2702137932483,마라23ab98aa
무계동 스마트제2주차장,,,22.68,8,0.08307692307692308,0.029304029304029304,128.812740203942,35.1984031018795,마라19ba90aa
무계동 스마트제1주차장,2023/10/28,2023/10/28,0.0,0,0.0,0.0,128.814328104089,35.1979195209035,마라19ba89bb
장유도서관,2023/10/29,2023/10/29,4.02,3,0.014725274725274724,0.01098901098901099,128.7970325409,35.1913540310428,마라18aa89aa
유하공원공영주차장,2023/10/29,2023/10/29,4.75,2,0.0173992673992674,0.007326007326007326,128.809137170196,35.2056570598981,마라19aa90bb
지내동공단 공영주차장,2023/10/30,2023/10/30,8.52,5,0.031208791208791206,0.018315018315018316,128.92239597782,35.2263821340937,마라29ab93ab
지내동공단 공영주차장,2023/10/30,2023/10/30,9.0,5,0.03296703296703297,0.018315018315018316,128.92239597782,35.2263821340937,마라29ab93ab
김해문화의전당,2023/10/30,2023/10/30,5.68,3,0.020805860805860804,0.01098901098901099,128.869899594716,35.2436563284991,마라24ba95aa
김해문화의전당,2023/10/30,2023/10/30,5.49,3,0.02010989010989011,0.01098901098901099,128.869899594716,35.2436563284991,마라24ba95aa
