gid,건물1,건물2,건물3,행정기관,도서관,주차구획수_sum,경제인구,전기차와충전소_전처리_결과_전기차,전기차와충전소_전처리_결과_충전소,김해_차량평균속도_avg_speed
마라09ab99bb,0,0,0,0,0,,,0,0,
마라09ba98ba,0,0,0,0,0,,,0,0,
마라09ba98bb,0,0,0,0,0,,,0,0,
마라09ba99aa,0,0,0,0,0,,,0,0,
마라09ba99ab,0,0,0,0,0,,,0,0,
마라09ba99ba,0,0,0,0,0,,,0,0,
마라09ba99bb,0,0,0,0,0,,,0,0,18.562138730000001
마라09bb98aa,0,0,0,0,0,,,0,0,
마라09bb98ab,0,0,0,0,0,,,0,0,
마라09bb98ba,0,0,0,0,0,,,0,0,
마라09bb98bb,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,71.000000000000000
마라09bb99aa,1,0,0,0,0,,22.0000000000000000000000000000000,0,0,
마라09bb99ab,1,0,0,0,0,,,0,0,
마라09bb99ba,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라09bb99bb,1,0,0,0,0,,,0,0,
마라10aa96bb,0,0,0,0,0,,,0,0,
마라10aa97aa,0,0,0,0,0,,,0,0,
마라10aa97ab,0,0,0,0,0,,,0,0,
마라10aa97ba,0,0,0,0,0,,,0,0,
마라10aa97bb,3,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라10aa98aa,0,0,0,0,0,,,0,0,
마라10aa98ab,0,0,0,0,0,,,0,0,
마라10aa98ba,0,0,0,0,0,,,0,0,
마라10aa98bb,0,0,0,0,0,,,0,0,
마라10aa99aa,2,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라10aa99ab,0,0,0,0,0,,,0,0,
마라10aa99ba,21,0,0,0,0,,0.0000000000000000000000000000000,0,2,
마라10aa99bb,15,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라10ab96aa,0,0,0,0,0,,,0,0,
마라10ab96ab,0,0,0,0,0,,,0,0,
마라10ab96ba,0,0,0,0,0,,,0,0,
마라10ab96bb,0,0,0,0,0,,,0,0,
마라10ab97aa,0,0,0,0,0,,,0,0,
마라10ab97ab,0,0,0,0,0,,,0,0,
